Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1961,45119,44970,45048,44998,45122,45289,45399,45534,45592,45717,45930,46036
1962,46040,46310,46374,46680,46670,46644,46720,46775,46889,46927,46911,46902
1963,46911,46999,47075,47316,47328,47357,47460,47542,47661,47804,47771,47864
1964,47925,48172,48286,48278,48419,48550,48735,48887,49117,48948,49339,49524
1965,49645,49826,49993,50208,50397,50562,50764,50957,51152,51341,51560,51823
1966,51988,52185,52500,52678,52891,53209,53327,53501,53580,53727,53816,53943
1967,54092,54076,54133,54031,54146,54216,54344,54553,54541,54583,55008,55165
1968,55010,55396,55453,55678,55747,55918,56108,56288,56417,56620,56877,57103
1969,57230,57475,57676,57827,58044,58277,58389,58635,58535,58691,58638,58764
1970,58680,58787,58848,58643,58456,58362,58356,58226,58203,57728,57579,57947
1971,57987,57930,57952,58091,58277,58246,58304,58332,58546,58527,58699,58919
1972,59175,59350,59615,59804,60053,60353,60227,60611,60689,61068,61330,61584
1973,61927,62303,62539,62678,62831,63015,63048,63264,63384,63630,63885,63961
1974,64010,64119,64144,64191,64328,64365,64348,64291,64188,64146,63733,63093
1975,62669,62171,61894,61665,61797,61737,61909,62283,62404,62640,62782,63071
1976,63534,63835,64061,64307,64341,64413,64554,64697,64921,64883,65167,65373
1977,65634,65932,66341,66653,66956,67281,67535,67747,68129,68337,68658,68872
1978,68983,69277,69729,70365,70675,71098,71303,71592,71802,72098,72497,72760
1979,72871,73108,73523,73440,73799,74063,74067,74071,74199,74345,74400,74492
1980,74599,74657,74698,74266,73966,73660,73422,73689,73883,74104,74356,74570
1981,74673,74759,74918,75023,75098,75331,75426,75455,75446,75311,75093,74822
1982,74524,74552,74410,74140,74104,73849,73631,73433,73260,72951,72809,72790
1983,72967,72913,73085,73374,73639,74001,74426,74113,75205,75534,75878,76222
1984,76663,77132,77399,77717,77995,78352,78617,78808,79089,79355,79671,79825
1985,80036,80154,80447,80608,80838,80961,81028,81221,81407,81579,81769,81915
1986,82017,82088,82179,82356,82458,82376,82694,82788,83024,83152,83303,83488
1987,83633,83883,84100,84390,84616,84776,85087,85248,85512,85869,86073,86314
1988,86388,86825,87042,87280,87481,87811,88056,88130,88379,88606,88871,89162
1989,89387,89615,89799,89951,90037,90115,90164,90131,90342,90443,90695,90761
1990,91037,91255,91342,91293,91234,91301,91263,91152,91084,90930,90770,90704
1991,90576,90249,90080,89866,89751,89776,89692,89734,89791,89768,89674,89692
1992,89679,89624,89645,89776,89895,89955,89982,90039,90126,90307,90438,90624
1993,90893,91142,91085,91357,91619,91782,92000,92181,92414,92691,92921,93214
1994,93451,93629,94050,94364,94659,94963,95306,95593,95917,96113,96505,96786
1995,97107,97285,97480,97631,97632,97840,97940,98210,98450,98565,98705,98859
1996,98868,99249,99458,99641,99960,100242,100468,100697,100835,101109,101384,101574
1997,101770,102077,102381,102681,102950,103156,103426,103475,103898,104186,104468,104785
1998,105043,105233,105372,105631,105972,106199,106278,106588,106760,106949,107180,107520
1999,107620,107974,108066,108361,108581,108816,109083,109194,109377,109722,109970,110240
2000,110438,110521,110872,111082,110959,111173,111359,111394,111621,111609,111793,111914
2001,111863,111879,111808,111464,111383,111159,110986,110806,110523,110177,109816,109630
2002,109475,109342,109290,109174,109119,109134,109039,108998,108952,109062,109037,108882
2003,108953,108819,108623,108581,108630,108586,108550,108597,108748,108881,108947,109049
2004,109227,109272,109551,109796,110080,110188,110243,110310,110447,110777,110817,110940
2005,111043,111289,111413,111762,111906,112177,112440,112632,112706,112815,113142,113282
2006,113578,113853,114137,114292,114321,114406,114549,114677,114742,114780,114986,115165
2007,115381,115423,115632,115668,115800,115865,115871,115791,115824,115877,115958,116022
2008,116011,115906,115812,115588,115364,115172,114924,114642,114221,113745,112986,112293
2009,111490,110735,109933,109148,108853,108426,108140,107943,107789,107538,107526,107326
2010,107307,107224,107346,107546,107649,107761,107851,108004,108092,108323,108467,108569
2011,108584,108837,109085,109420,109575,109772,109942,110107,110362,110559,110730,110947
2012,111300,111571,111801,111896,112024,112077,112240,112414,0,0,0,0
